county_name,year,Population
Alameda,2018,1660202
Alpine,2018,1154
Amador,2018,38094
Butte,2018,227621
Calaveras,2018,45157
Colusa,2018,22098
Contra Costa,2018,1149363
Del Norte,2018,27221
El Dorado,2018,188399
Fresno,2018,1007229
Glenn,2018,28796
Humboldt,2018,136002
Imperial,2018,190624
Inyo,2018,18577
Kern,2018,905801
Kings,2018,151662
Lake,2018,65081
Lassen,2018,30911
Los Angeles,2018,10283729
Madera,2018,158894
Marin,2018,263886
Mariposa,2018,18129
Mendocino,2018,89299
Merced,2018,279977
Modoc,2018,9612
Mono,2018,13822
Monterey,2018,443281
Napa,2018,141294
Nevada,2018,99155
Orange,2018,3284468
Placer,2018,389532
Plumas,2018,19773
Riverside,2018,2415955
Sacramento,2018,1529501
San Benito,2018,57088
San Bernardino,2018,2174938
San Diego,2018,3337456
San Francisco,2018,883963
San Joaquin,2018,758744
San Luis Obispo,2018,280101
San Mateo,2018,774155
Santa Barbara,2018,453457
Santa Clara,2018,1956598
Santa Cruz,2018,276864
Shasta,2018,178271
Sierra,2018,3207
Siskiyou,2018,44612
Solano,2018,439793
Sonoma,2018,503332
Stanislaus,2018,555624
Sutter,2018,97238
Tehama,2018,64039
Trinity,2018,13635
Tulare,2018,475834
Tuolumne,2018,54740
Ventura,2018,859073
Yolo,2018,221270
Yuba,2018,74727
